"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"3-Sulfolactate, 13C3","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Sulfolactic Acid, 13C3","Sulfolactic Acid, 13C3","C(13)2H5O4S",13.27,171.9913,"[M-H]",NA,NA,"HILICNeg",NA,1,NA,160401,NA,"Sulfolactic Acid 13C3",NA,NA,NA,NA,NA,NA,NA
"Taurine","HILIC",-1,"<10 - 1000","0.481","5.2","<10 - 1000","0.228","3.3","Sulfur","Taurine","Taurine","C2H7NO3S",11.13,124.006841,"[M-H]","cpd:C00245","ChEBI:15891","HILICNeg",NA,4,"Mix2",160401,"Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","Taurine","ChEBI:15891",1123,"C2H7NO3S","XOAAWQZATWQOTB-UHFFFAOYSA-N","C(CS(=O)(=O)O)N","2-aminoethanesulfonic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
"Taurine","HILIC",1,NA,NA,NA,NA,NA,NA,"Sulfur","Taurine","Taurine","C2H7NO3S",11.12,126.022491,"[M+H]","cpd:C00245","ChEBI:15891","HILICPos",NA,4,"Mix2",160401,"Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","Taurine","ChEBI:15891",1123,"C2H7NO3S","XOAAWQZATWQOTB-UHFFFAOYSA-N","C(CS(=O)(=O)O)N","2-aminoethanesulfonic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
"Taurine, 2H4","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Taurine, D4","Taurine, 2H4","C2D4H3NO3S",10,128.0325,"[M-H]",NA,NA,"HILICNeg",NA,1,NA,160401,NA,"Taurine 2H4",NA,NA,NA,NA,NA,NA,NA
"Thiamine monophosphate","HILIC",1,"100 - >10000","0.821","13.5","<10 - >10000","1.08","17.3","Vitamin (B1-derivative)","Thiamine monophosphate","TMP","C12H18N4O4PS",11.5,345.078641,"[M]","cpd:C01081","ChEBI:9533","HILICPos",NA,4,"Mix1",160401,"Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP","Thiamine monophosphate","ChEBI:9533",1131,"C12H18N4O4PS+","HZSAJDVWZRBGIF-UHFFFAOYSA-O","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl dihydrogen phosphate","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Thiamines; level 6: Thiamine_phosphates; level 7: Thiamine_phosphates; level 8: Thiamine_phosphates"
"Thiamine diphosphate","HILIC",1,"100 - >10000","0.929","23.1","100 - >10000","1.164","19.6","Vitamin (B1-derivative)","Thiamine pyrophosphate","TPP","C12H19N4O7P2S",13.765,425.044974,"[M]","cpd:C00068","ChEBI:9532","HILICPos",NA,4,"Mix1",160401,"Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP","Thiamine diphosphate","ChEBI:9532",1132,"C12H19N4O7P2S+","AYEKOFBPNLCAJY-UHFFFAOYSA-O","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl phosphono hydrogen phosphate","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Thiamines; level 6: Thiamine_phosphates; level 7: Thiamine_phosphates; level 8: Thiamine_phosphates"
"L-Threonine","HILIC",1,"1000 - >10000","0.694","12.9","100 - >10000","0.715","11.2","Amino Acid","Threonine","Threonine","C4H9NO3",10.92,120.066069,"[M+H]","cpd:C00188","ChEBI:16857","HILICPos",NA,4,"Mix1",160401,"L-Threonine; 2-Amino-3-hydroxybutyric acid","Threonine","ChEBI:16857",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Thymidine","HILIC",-1,"1000 - >10000","0.909","17.7","500 - 1000","1.336","21.1","Nucleoside","Thymidine","Thymidine","C10H14N2O5",3.27,241.082448,"[M-H]","cpd:C00214","ChEBI:17748","HILICNeg",NA,4,"Mix1",160401,"Thymidine; Deoxythymidine","Thymidine","ChEBI:17748",5789,"C10H14N2O5","IQFYYKKMVGJFEH-XLPZGREQSA-N","CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O","1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleosides; subclass: Pyrimidine_2-deoxyribonucleosides; level 5: Pyrimidine_2-deoxyribonucleosides; level 6: Pyrimidine_2-deoxyribonucleosides; level 7: Pyrimidine_2-deoxyribonucleosides; level 8: Pyrimidine_2-deoxyribonucleosides"
"Thymine","HILIC",1,NA,NA,NA,NA,NA,NA,"Nucleic Acid","Thymine","Thymine","C5H6N2O2",3.02,127.050753,"[M+H]","cpd:C00178","ChEBI:17821","HILICPos",NA,4,"Mix2",160401,"Thymine; 5-Methyluracil","Thymine","ChEBI:17821",1135,"C5H6N2O2","RWQNBRDOKXIBIV-UHFFFAOYSA-N","CC1=CNC(=O)NC1=O","5-methyl-1H-pyrimidine-2,4-dione","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Hydroxypyrimidines; level 6: Hydroxypyrimidines; level 7: Hydroxypyrimidines; level 8: Hydroxypyrimidines"
"Thymine","HILIC",-1,"100 - >10000","0.913","10.4","100 - 1000","1.113","2.5","Nucleic Acid","Thymine","Thymine","C5H6N2O2",3.02,125.035103,"[M-H]","cpd:C00178","ChEBI:17821","HILICNeg",NA,4,"Mix2",160401,"Thymine; 5-Methyluracil","Thymine","ChEBI:17821",1135,"C5H6N2O2","RWQNBRDOKXIBIV-UHFFFAOYSA-N","CC1=CNC(=O)NC1=O","5-methyl-1H-pyrimidine-2,4-dione","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Hydroxypyrimidines; level 6: Hydroxypyrimidines; level 7: Hydroxypyrimidines; level 8: Hydroxypyrimidines"
"Hydroxyproline","HILIC",1,"20 - >10000","0.764","13.5","<10 - >10000","0.726","7","Amino Acid - collagen","trans Hydroxyl proline","THP","C5H9NO3",10.07,132.066069,"[M+H]","cpd:C01157","ChEBI:18095","HILICPos",NA,4,"Mix1",160401,"Hydroxyproline; L-Hydroxyproline; trans-4-Hydroxy-L-proline","Hydroxyproline","ChEBI:18095",5810,"C5H9NO3","PMMYEEVYMWASQN-DMTCNVIQSA-N","C1C(CNC1C(=O)O)O","(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives"
"Trehalose","HILIC",-1,"100 - >10000","0.751","18.1","500 - >10000","1.046","8.4","Antioxidant","Trehalose","Trehalose","C12H22O11",13,341.10839,"[M-H]","cpd:C01083","ChEBI:16551","HILICNeg",NA,4,"Mix2",160401,"alpha,alpha-Trehalose; alpha,alpha'-Trehalose; Trehalose","Trehalose","ChEBI:16551",7427,"C12H22O11","HDTRYLNUVZCQOY-LIZSDCNHSA-N","C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds"
"Trehalose, 13C","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Trehalose, 13C","Trehalose, 13C","C(13)12H22O11",12.63,353.1497,"[M-H]",NA,NA,"HILICNeg",NA,5,NA,170601,NA,"Trehalose 13C",NA,NA,NA,NA,NA,NA,NA
"Trigonelline","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Trigonelline","Trigonelline","C7H7NO2",8.36,138.055503,"[M+H]","cpd:C01004","ChEBI:18123","HILICPos",NA,0.5,"Mix1",170331,"N-Methylnicotinate; Trigonelline; Trigenelline; 1-Methylpyridinio-3-carboxylate; Betaine nicotinate; Caffearin; Gynesine","Trigonelline","ChEBI:18123",5570,"C7H7NO2","WWNNZCOKKKDOPX-UHFFFAOYSA-N","C[N+]1=CC=CC(=C1)C(=O)[O-]","1-methylpyridin-1-ium-3-carboxylate","kingdom: Organic_compounds; superclass: Alkaloids_and_derivatives; class: Alkaloids_and_derivatives; subclass: Alkaloids_and_derivatives; level 5: Alkaloids_and_derivatives; level 6: Alkaloids_and_derivatives; level 7: Alkaloids_and_derivatives; level 8: Alkaloids_and_derivatives"
"Trimethylamine","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","Trimethylamine","Trimethylamine","C3H9N",5.96,60.081324,"[M+H]","cpd:C00565","ChEBI:18139","HILICPos",NA,10,"Mix1",180130,"Trimethylamine; (CH3)3N; N,N-Dimethylmethanamine","Trimethylamine","ChEBI:18139",1146,"C3H9N","GETQZCLCWQTVFV-UHFFFAOYSA-N","CN(C)C","N,N-dimethylmethanamine","kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Amines; level 5: Tertiary_amines; level 6: Trialkylamines; level 7: Trialkylamines; level 8: Trialkylamines"
"Trimethylamine N-oxide","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","Trimethylamine N-oxide","TMAO","C3H9NO",6.59,76.076239,"[M+H]","cpd:C01104","ChEBI:15724","HILICPos",NA,4,"Mix1",180130,"Trimethylamine N-oxide; (CH3)3NO","TMAO","ChEBI:15724",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Aminoxides; level 5: Trialkyl_amine_oxides; level 6: Trialkyl_amine_oxides; level 7: Trialkyl_amine_oxides; level 8: Trialkyl_amine_oxides"
"L-Tyrosine","HILIC",1,"100 - >10000","0.673","15","<10 - 1000","0.272","17.6","Amino Acid","Tyrosine","Tyrosine","C9H11NO3",9.76,182.081719,"[M+H]","cpd:C00082","ChEBI:17895","HILICPos",NA,4,"Mix1",160401,"L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","Tyrosine","ChEBI:17895",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Tyrosine_and_derivatives; level 8: Tyrosine_and_derivatives"
"UDP-N-acetylglucosamine","HILIC",-1,"20 - >10000","0.881","16.5","100 - >10000","1.068","12.3","Nucleotide sugar","UDP-glucosamine","UDP-glucosamine","C17H27N3O17P2",12.75,606.073753,"[M-H]","cpd:C00043","ChEBI:16264","HILICNeg",NA,4,"Mix2",160401,"UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine","UDP glucosamine","ChEBI:16264",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleotides; subclass: Pyrimidine_nucleotide_sugars; level 5: Pyrimidine_nucleotide_sugars; level 6: Pyrimidine_nucleotide_sugars; level 7: Pyrimidine_nucleotide_sugars; level 8: Pyrimidine_nucleotide_sugars"
"UDP-glucose","HILIC",-1,"20 - >10000","0.747","14.6","<10 - >10000","0.928","9.4","Nucleotide sugar","UDP-glucose","UDP-glucose","C15H24N2O17P2",13.59,565.047204,"[M-H]","cpd:C00029","ChEBI:18066","HILICNeg",NA,4,"Mix2",160401,"UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose","UDP glucose","ChEBI:167608",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleotides; subclass: Pyrimidine_nucleotide_sugars; level 5: Pyrimidine_nucleotide_sugars; level 6: Pyrimidine_nucleotide_sugars; level 7: Pyrimidine_nucleotide_sugars; level 8: Pyrimidine_nucleotide_sugars"
"Uracil","HILIC",-1,"500 - 1000","0.825","5.2","20 - 1000","0.794","11","Nucleic Acid","Uracil","Uracil","C4H4N2O2",4,111.019453,"[M-H]","cpd:C00106","ChEBI:17568","HILICNeg",NA,4,"Mix2",160401,"Uracil","Uracil","ChEBI:17568",1174,"C4H4N2O2","ISAKRJDGNUQOIC-UHFFFAOYSA-N","C1=CNC(=O)NC1=O","1H-pyrimidine-2,4-dione","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Pyrimidones; level 6: Pyrimidones; level 7: Pyrimidones; level 8: Pyrimidones"
"Uridine","HILIC",-1,"100 - >10000","0.91","13.1","<10 - 1000","0.965","22.1","Nucleoside","Uridine","Uridine","C9H12N2O6",6.02,243.061713,"[M-H]","cpd:C00299","ChEBI:16704","HILICNeg",NA,4,"Mix2",160401,"Uridine","Uridine","ChEBI:16704",6029,"C9H12N2O6","DRTQHJPVMGBUCF-XVFCMESISA-N","C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O","1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleosides; subclass: Pyrimidine_nucleosides; level 5: Pyrimidine_nucleosides; level 6: Pyrimidine_nucleosides; level 7: Pyrimidine_nucleosides; level 8: Pyrimidine_nucleosides"
"L-Valine","HILIC",1,"100 - >10000","0.762","7.7","<10 - 1000","0.438","14.9","Amino Acid","Valine","Valine","C5H11NO2",9.09,118.086804,"[M+H]","cpd:C00183","ChEBI:16414","HILICPos",NA,4,"Mix1",160401,"L-Valine; 2-Amino-3-methylbutyric acid","Valine","ChEBI:16414",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Valine_and_derivatives; level 8: Valine_and_derivatives"
"Nicotinic acid","HILIC",1,NA,"0.989","7.1",NA,"1.071","9.4","Vitamin","Vitamin B3","Vit B3","C6H5NO2",2.68,124.039854,"[M+H]","cpd:C00253","ChEBI:15940","HILICPos",NA,4,"Mix2",160401,"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid","Nicotinic acid","ChEBI:15940",938,"C6H5NO2","PVNIIMVLHYAWGP-UHFFFAOYSA-N","C1=CC(=CN=C1)C(=O)O","pyridine-3-carboxylic acid","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyridines_and_derivatives; subclass: Pyridinecarboxylic_acids_and_derivatives; level 5: Pyridinecarboxylic_acids; level 6: Pyridinecarboxylic_acids; level 7: Pyridinecarboxylic_acids; level 8: Pyridinecarboxylic_acids"
"Dimethylsulfonioacetate","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Dimethylsulfonioacetate (DMS-Ac)","DMS-Ac","C4H9O2S",8.39,121.032327,"[M]","cpd:C03392","ChEBI:16471","HILICPos",NA,4,"Mix2",180701,"Dimethylsulfonioacetate","Dimethylsulfonioacetate","ChEBI:4623",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Carboxylic_acid_derivatives; level 5: Carboxylic_acid_salts; level 6: Carboxylic_acid_salts; level 7: Carboxylic_acid_salts; level 8: Carboxylic_acid_salts"
"Gonyol","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Gonyol","Gonyol","C7H14O3S",10.74,179.074191,"[M+H]",NA,NA,"HILICPos",NA,4,"Mix2",180701,NA,"Gonyol",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Hydroxy_acids_and_derivatives; subclass: Beta_hydroxy_acids_and_derivatives; level 5: Beta_hydroxy_acids_and_derivatives; level 6: Beta_hydroxy_acids_and_derivatives; level 7: Beta_hydroxy_acids_and_derivatives; level 8: Beta_hydroxy_acids_and_derivatives"
"Turicine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Turicine","Turicine","C7H13NO3",8.48,160.097369,"[M+H]","cpd:C21513","ChEBI:85534","HILICPos",NA,4,"Mix2",180701,"Turicine; (+)-Turicine; cis-4-Hydroxy-D-proline betaine","Turicine",NA,6560290,"C7H13NO3","MUNWAHDYFVYIKH-PHDIDXHHSA-N","C[N+]1(CC(CC1C(=O)[O-])O)C","(2R,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives"
"Betonicine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Betonicine","Betonicine","C7H13NO3",8.45,160.097369,"[M+H]","cpd:C08269","ChEBI:85533","HILICPos",NA,4,"Mix2",180701,"(-)-Betonicine; Betonicine; trans-4-Hydroxy-L-proline betaine","Betonicine","ChEBI:85533",164642,"C7H13NO3","MUNWAHDYFVYIKH-RITPCOANSA-N","C[N+]1(CC(CC1C(=O)[O-])O)C","(2S,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives"
"O-Methylmalonyl-L-carnitine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Methylmalonyl carnitine","MMC","C11H19NO6",9.67,262.129063,"[M+H]",NA,"ChEBI:85473","HILICPos",NA,4,"Mix2",180701,NA,"MMC",NA,91825610,"C11H19NO6","XROYFEWIXXCPAW-BRFYHDHCSA-N","CC(C(=O)O)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C","(3R)-3-(2-carboxypropanoyloxy)-4-(trimethylazaniumyl)butanoate","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines"
"Succinic semialdehyde","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Succinic semialdehyde","SSA","C4H6O3",6.51,101.02387,"[M-H]","cpd:C00232","ChEBI:16265","HILICNeg",NA,4,"Mix2",180701,"Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate","Succinic semialdehyde","ChEBI:16265",1112,"C4H6O3","UIUJIQZEACWQSV-UHFFFAOYSA-N","C(CC(=O)O)C=O","4-oxobutanoic acid","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acids_and_conjugates; level 5: Straight_chain_fatty_acids; level 6: Straight_chain_fatty_acids; level 7: Straight_chain_fatty_acids; level 8: Straight_chain_fatty_acids"
"Arsenobetaine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Arsenobetaine","Arsenobetaine","C5H11AsO2",7.06,179.005326,"[M+H]","cpd:C19331","ChEBI:82392","HILICPos",NA,4,"Mix2",180701,"Arsenobetaine","Arsenobetaine","ChEBI:82392",47364,"C5H11AsO2","SPTHHTGLGVZZRH-UHFFFAOYSA-N","C[As+](C)(C)CC(=O)[O-]","2-trimethylarsoniumylacetate","kingdom: Organic_compounds; superclass: Organometallic_compounds; class: Organometalloid_compounds; subclass: Organoarsenic_compounds; level 5: Tetraorganoarsonium_salts; level 6: Tetraorganoarsonium_salts; level 7: Tetraorganoarsonium_salts; level 8: Tetraorganoarsonium_salts"
"Arsenobetaine","RP",1,NA,NA,NA,NA,NA,NA,"New3","Arsenobetaine","Arsenobetaine","C5H11AsO2",0.72,179.005326,"[M+H]","cpd:C19331","ChEBI:82392","CyanoAq","CyanoDCM",NA,NA,180701,"Arsenobetaine","Arsenobetaine","ChEBI:82392",47364,"C5H11AsO2","SPTHHTGLGVZZRH-UHFFFAOYSA-N","C[As+](C)(C)CC(=O)[O-]","2-trimethylarsoniumylacetate","kingdom: Organic_compounds; superclass: Organometallic_compounds; class: Organometalloid_compounds; subclass: Organoarsenic_compounds; level 5: Tetraorganoarsonium_salts; level 6: Tetraorganoarsonium_salts; level 7: Tetraorganoarsonium_salts; level 8: Tetraorganoarsonium_salts"
"Dexpanthenol","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Dexpanthenol","Dexpanthenol","C9H19NO4",2.27,206.139234,"[M+H]","cpd:C05944","ChEBI:27373","HILICPos",NA,4,"Mix2",180701,"Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic","Dexpanthenol","ChEBI:27373",131204,"C9H19NO4","SNPLKNRPJHDVJA-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCCO)O","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Alcohols_and_polyols; level 5: Secondary_alcohols; level 6: Secondary_alcohols; level 7: Secondary_alcohols; level 8: Secondary_alcohols"
"Dexpanthenol","RP",1,NA,NA,NA,NA,NA,NA,"New3","Dexpanthenol","Dexpanthenol","C9H19NO4",1.11,206.139234,"[M+H]","cpd:C05944","ChEBI:27373","CyanoAq","CyanoDCM",0.25,NA,180701,"Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic","Dexpanthenol","ChEBI:27373",131204,"C9H19NO4","SNPLKNRPJHDVJA-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCCO)O","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Alcohols_and_polyols; level 5: Secondary_alcohols; level 6: Secondary_alcohols; level 7: Secondary_alcohols; level 8: Secondary_alcohols"
"Sulfanilic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Sulfanilic Acid","Sulfanilic Acid","C6H7NO3S",7.23,172.006841,"[M-H]","cpd:C06335","ChEBI:20313","HILICNeg",NA,4,"Mix2",180701,"4-Aminobenzenesulfonate; 4-Aminobenzenesulfonic acid; p-Aminobenzenesulfonic acid; Sulfanilic acid","Sulfanilic acid","ChEBI:27500",8479,"C6H7NO3S","HVBSAKJJOYLTQU-UHFFFAOYSA-N","C1=CC(=CC=C1N)S(=O)(=O)O","4-aminobenzenesulfonic acid","kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Benzenesulfonic_acids_and_derivatives; level 5: Benzenesulfonic_acids_and_derivatives; level 6: Benzenesulfonic_acids_and_derivatives; level 7: Benzenesulfonic_acids_and_derivatives; level 8: Benzenesulfonic_acids_and_derivatives"
"Inosine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Inosine","Inosine","C10H12N4O5",7.57,269.088596,"[M+H]","cpd:C00294","ChEBI:17596","HILICPos",NA,4,"Mix2",180701,"Inosine","Inosine","ChEBI:17596",135398641,"C10H12N4O5","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides"
