"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"Thiamine diphosphate",425.044974,0.67,1,"RP",NA,0.25,"[M]","Aq","Vitamin (B1-derivative)","C12H19N4O7P2S","C12H19N4O7P2S+",1132,"cpd:C00068","Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP","ChEBI:9532","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl phosphono hydrogen phosphate","AYEKOFBPNLCAJY-UHFFFAOYSA-O","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Thiamines; level 6: Thiamine phosphates; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Thiamines; level 6: Thiamine phosphates","thiamine pyrophosphate","TPP","Thiamine diphosphate",160401,FALSE
"Choline",104.107539,0.69,1,"RP",NA,0.25,"[M]","Aq","Vitamin (B-like)","C5H14NO","C5H14NO+",305,"cpd:C00114","Choline; Bilineurine","ChEBI:15354","2-hydroxyethyl(trimethyl)azanium","OEYIOHPDSNJKLS-UHFFFAOYSA-N","C[N+](C)(C)CCO","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines; kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines","Choline","Choline","Choline",160401,FALSE
"alpha-Tocopherol",431.388905,14.725,1,"RP",NA,0.25,"[M+H]","Org","Vitamin (fat soluble)","C29H50O2",NA,NA,"cpd:C02477","alpha-Tocopherol; Vitamin E","ChEBI:18145","(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol","GVJHHUAWPYXKBD-IEOSBIPESA-N","CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocopherols; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocopherols","Tocopherol (Vit E)","Vit E","Vitamin E",160401,NA
"alpha-Tocotrienol",425.341955,13.88,1,"RP",NA,0.25,"[M+H]","Org","Vitamin (fat soluble)","C29H44O2","C29H44O2",5282347,"cpd:C14153","alpha-Tocotrienol","ChEBI:33270","(2R)-2,5,7,8-tetramethyl-2-[(3E,7E)-4,8,12-trimethyltrideca-3,7,11-trienyl]-3,4-dihydrochromen-6-ol","RZFHLOLGZPDCHJ-XZXLULOTSA-N","CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=C1O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocotrienols; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocotrienols","Tocotrienol","a-Tocotrienol","alpha Tocotrienal",160401,NA
"Calciferol",397.34704,13.75,1,"RP",NA,1,"[M+H]","Org","Vitamin (fat soluble)","C28H44O",NA,NA,"cpd:C05441","Vitamin D2; Ergocalciferol","ChEBI:28934",NA,NA,NA,NA,"Vitamin D2","Vit D2","Calciferol",160401,NA
"Adenosylcobalamin",790.3367,5.4,2,"RP",NA,0.25,"[2M+H]","Aq","Vitamin B12","C72H100CoN18O17P","C72H100CoN18O17P-3",70678541,"cpd:C00194","Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide","ChEBI:18408","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-methanidyloxolane-3,4-diol;cobalt;[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate","DFDCDQDATCDZSO-OUCXYWSSSA-L","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Tetrapyrroles and derivatives; subclass: Corrinoids; level 5: Cobalamin derivatives","Coenzyme B12","Adenosyl B12","Adenosylcobalamin",160401,TRUE
"Hydroxocobalamin",664.7861,4.35,2,"RP",NA,0.25,"[2M-OH]","Aq","Vitamin B12","C62H89CoN13O15P","C62H90CoN13O15P-2",70678542,"cpd:C08230","Hydroxocobalamin; Vitamin B12a; Hydroxycobalamin; Hydroxycob(lll)alamin","ChEBI:27786","cobalt;[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate;hydrate","ITFLMCXLENHUAD-WZHZPDAFSA-L","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co]","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Tetrapyrroles and derivatives; subclass: Corrinoids; level 5: Cobalamin derivatives","Hydroxo B12","Hydroxo B12","Hydroxocobalamin",160401,TRUE
"Methylcobalamin",672.8011,6.29,2,"RP",NA,0.25,"[2M+H]","Aq","Vitamin B12","C63H91CoN13O14P","C63H92CoN13O14P",123134034,"cpd:C06453","Methylcobalamin; Methylcob(III)alamin","ChEBI:28115","carbanide;cobalt(2+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate","QXOMMGINPOYKPR-WYVZQNDMSA-M","[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+2]",NA,"Methyl B12","Methyl B12","Methylcobalamin",160401,TRUE
"Cyanocobalamin",678.2894,5.02,2,"RP",NA,0.25,"[2M+H]","Aq","Vitamin B12","C63H88CoN14O14P","C63H88CoN14O14P",5311498,"cpd:C02823","Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex","ChEBI:17439","cobalt(3+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl] phosphate;cyanide","FDJOLVPMNUYSCM-WZHZPDAFSA-L","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Tetrapyrroles and derivatives; subclass: Corrinoids; level 5: Cobalamin derivatives","RP B12","Cyano B12","Cyanocobalamin",160401,TRUE
"Retinoic acid",301.216755,11.97,1,"RP",NA,0.25,"[M+H]","Org","Vitamin rhodopsin","C20H28O2",NA,NA,"cpd:C00777","Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid","ChEBI:15367","(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid","SHGAZHPCJJPHSC-YCNIQYBTSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids","Retinoic Acid","Retinoic acid","Retinoic acid",160401,NA
"Retinal",285.22184,12.52,1,"RP",NA,NA,"[M+H]","Org","Vitamin rhodopsin","C20H28O","C20H28O",638015,"cpd:C00376","Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene","ChEBI:17898","(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal","NCYCYZXNIZJOKI-OVSJKPMPSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids","trans Retinal","Retinal","Retinal",160401,NA
"Dimethylbenzimidazole",147.092223,3.38,1,"RP",NA,0.25,"[M+H]","Aq","Vitamin synthesis","C9H10N2",NA,NA,"cpd:C03114","Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole","ChEBI:15890","5,6-dimethyl-1H-benzimidazole","LJUQGASMPRMWIW-UHFFFAOYSA-N","CC1=CC2=C(C=C1C)N=CN2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Benzimidazoles","Dimethyl-benzimidazole","DMB","Dimethylbenzimidazole",160401,TRUE
"Dihydroxyacetone phosphate",168.990203,12.86,-1,"HILIC","Mix2",6,"[M-H]","Aq","Calvin cycle intermediate","C3H7O6P","C3H7O6P",668,"cpd:C00111","Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate","ChEBI:16108","(3-hydroxy-2-oxopropyl) dihydrogen phosphate","GNGACRATGGDKBX-UHFFFAOYSA-N","C(C(=O)COP(=O)(O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Monosaccharide phosphates","DHAP","DHAP","Dihydroxyacetone phosphate",160401,TRUE
"Adenosine monophosphate, 15N5",351.0411,11.585,-1,"HILIC",NA,5,"[M-H]","Aq","Internal Standard","C10H13N(15)5O7P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adenosine Monophosphate, 15N5","AMP, 15N5","AMP 15N5",170301,TRUE
"Guanosine monophosphate, 15N5",367.0364,13.85,-1,"HILIC",NA,2,"[M-H]","Aq","Internal Standard","C10H13N(15)5O8P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guanosine Monophosphate, 15N5","GMP, 15N5","GMP 15N5",170301,TRUE
"3',5'-Cyclic diGMP",689.087051,13.74,-1,"HILIC","Mix2",4,"[M-H]","Aq","Intracellular signaling","C20H24N10O14P2",NA,NA,"cpd:C16463","3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate","ChEBI:49537","2-amino-9-[(1S,6R,8R,9R,10S,15R,17R,18R)-17-(2-amino-6-oxo-1H-purin-9-yl)-3,9,12,18-tetrahydroxy-3,12-dioxo-2,4,7,11,13,16-hexaoxa-3ÃƒÆ’Ã…Â½Ãƒâ€šÃ‚Â»5,12ÃƒÆ’Ã…Â½Ãƒâ€šÃ‚Â»5-diphosphatricyclo[13.3.0.06,10]octadecan-8-yl]-1H-purin-6-one","PKFDLKSEZWEFGL-MHARETSRSA-N","C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(OCC5C(C(C(O5)N6C=NC7=C6N=C(NC7=O)N)O)OP(=O)(O1)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (3'->5')-dinucleotides and analogues; subclass: (3'->5')-cyclic dinucleotides and analogues; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (3'->5')-dinucleotides and analogues; subclass: (3'->5')-cyclic dinucleotides and analogues","Cyclic diGMP","Cyclic diGMP","Cyclic diGMP",160401,TRUE
"O-Acetylcarnitine",204.123584,7.22,1,"HILIC","Mix1",4,"[M+H]","Aq","New2","C9H17NO4","C9H18NO4+",439756,"cpd:C02571","O-Acetylcarnitine; O-Acetyl-L-carnitine","ChEBI:15960","[(2R)-2-acetyloxy-3-carboxypropyl]-trimethylazanium","RDHQFKQIGNGIED-MRVPVSSYSA-O","CC(=O)OC(CC(=O)O)C[N+](C)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines","Acetyl-L-carnitine","Acetyl-L-carnitine","Acetyl L carnitine",180130,TRUE
"N-Acetyl-L-glutamic acid",NA,11.84,-1,"HILIC","Mix1",4,"[M-H]","Aq","New6","C7H11NO5","C7H11NO5",70914,"cpd:C00624","N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid","ChEBI:172431","(2S)-2-acetamidopentanedioic acid","RFMMMVDNIPUKGG-YFKPBYRVSA-N","CC(=O)NC(CCC(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives","Acetylglutamic acid","Acetylglutamic acid","Acetylglutamic acid",190715,TRUE
"NADH",664.116954,11.26,-1,"HILIC","Mix2",4,"[M-H]","Aq","Redox","C21H27N7O14P2",NA,NA,"cpd:C00004","NADH; DPNH; Reduced nicotinamide adenine dinucleotide","ChEBI:16908","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate","BOPGDPNILDQYTO-NNYOXOHSSA-N","C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (5'->5')-dinucleotides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (5'->5')-dinucleotides","NADH","NADH","NADH",160401,TRUE
"3-Aminopropanesulfonate",138.022491,11.49,-1,"HILIC","Mix2",4,"[M-H]","Aq","Sulfur","C3H9NO3S",NA,NA,"cpd:C03349","3-Aminopropanesulfonate; 3-Amino-1-propanesulfonic acid","ChEBI:1457","3-aminopropane-1-sulfonate","SNKZJIOFVMKAOJ-UHFFFAOYSA-M","C(CN)CS(=O)(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","Amino Propanesulfonic Acid","3-Aminopropanesulfonate","Aminopropanesulfonate",160401,TRUE
"Hypotaurine",110.027576,11.36,1,"HILIC","Mix2",6,"[M+H]","Aq","Sulfur","C2H7NO2S","C2H7NO2S",107812,"cpd:C00519","Hypotaurine; 2-Aminoethanesulfinic acid","ChEBI:16668","2-aminoethanesulfinic acid","VVIUBCNYACGLLV-UHFFFAOYSA-N","C(CS(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Sulfinic acids and derivatives; subclass: Sulfinic acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Sulfinic acids and derivatives; subclass: Sulfinic acids","Hypotaurine","Hypotaurine","Hypotaurine",160401,TRUE
"Sulfolactic acid",168.980687,13.275,-1,"HILIC","Mix2",16,"[M-H]","Aq","Sulfur","C3H6O6S","C3H6O6S",20981094,"cpd:C11537","(2R)-3-Sulfolactate; (R)-3-Sulfolactate","ChEBI:48291","2-hydroxy-2-sulfopropanoic acid","COMVEZIIQHBEJL-UHFFFAOYSA-N","CC(C(=O)O)(O)S(=O)(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Hydroxy acids and derivatives; subclass: Alpha hydroxy acids and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Hydroxy acids and derivatives; subclass: Alpha hydroxy acids and derivatives","Sulfolactic Acid","Sulfolactic acid","Sulfolactic acid",160401,TRUE
"1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",760.585632,16.3,1,"LipidC18",NA,0.25,"[M+H]","Org","Phospholipid synthesis","C42H82NO8P","C42H82NO8P",5497103,NA,NA,NA,"[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","WTJKGGKOPKCXLL-VYOBOKEXSA-N","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Phosphatidylcholines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Phosphatidylcholines","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine","1,2,3-phosphocholine","POPC",160401,TRUE
"1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",744.554331,16.9,1,"LipidC18",NA,0.25,"[M]","Org","Phospholipid synthesis","C41H79NO8P","C41H79NO8P-",23727969,NA,NA,NA,"2-aminoethyl [(2S)-3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] phosphate","JQKOHRZNEOQNJE-VYCVAHKRSA-M","CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCN)OC(=O)CCCCCCCC=CCCCCCCCC","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphoethanolamines; level 5: Phosphatidylethanolamines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphoethanolamines; level 5: Phosphatidylethanolamines","1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine","1,2,3-phosphoethanolamine","SOPE",160401,TRUE
"7-Dehydrocholesterol",367.336475,NA,1,"LipidC18",NA,0.25,"[M-OH]","Org","Sterol","C27H44O","C27H44O",439423,"cpd:C01164","7-Dehydrocholesterol; Provitamin D3; Cholesta-5,7-dien-3beta-ol","ChEBI:17759","(3S,9S,10R,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","UCTLRSWJYQTBFZ-DDPQNLDTSA-N","CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives","7-dehydrocholesterol","7-DHC","Dehydrocholesterol",160401,TRUE
"alpha-Tocopherol",431.388905,19.2,1,"LipidC18",NA,0.25,"[M+H]","Org","Vitamin (fat soluble)","C29H50O2",NA,NA,"cpd:C02477","alpha-Tocopherol; Vitamin E","ChEBI:18145","(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol","GVJHHUAWPYXKBD-IEOSBIPESA-N","CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocopherols; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocopherols","Tocopherol (Vit E)","Vit E","Vitamin E",160401,TRUE
"alpha-Tocopherol, 2H6",436.4182,19.2,1,"LipidC18",NA,5,"[M]","Org","Internal Standard","C29D6H44O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alpha-Tocopherol, D6","alpha-Tocopherol, 2H6","alpha Tocopherol 2H6",170301,TRUE
"alpha-Tocotrienol",425.341955,NA,1,"LipidC18",NA,0.25,"[M+H]","Org","Vitamin (fat soluble)","C29H44O2","C29H44O2",5282347,"cpd:C14153","alpha-Tocotrienol","ChEBI:33270","(2R)-2,5,7,8-tetramethyl-2-[(3E,7E)-4,8,12-trimethyltrideca-3,7,11-trienyl]-3,4-dihydrochromen-6-ol","RZFHLOLGZPDCHJ-XZXLULOTSA-N","CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=C1O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocotrienols; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocotrienols","Tocotrienol","a-Tocotrienol","alpha Tocotrienal",160401,TRUE
"Arachidonic acid",303.2324,6.2,-1,"LipidC18",NA,20,"[M-H]","Org","Fatty Acid","C20H32O2","C20H32O2",444899,"cpd:C00219","Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid","ChEBI:15843","(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid","YZXBAPSDXZZRGB-DOFZRALJSA-N","CCCCCC=CCC=CCC=CCC=CCCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids","Arachidonic Acid","ARA","Arachidonic acid",160401,TRUE
"Arachidonic acid, 2H8",311.283,6.2,-1,"LipidC18",NA,20,"[M-H]","Org","Internal Standard","C20D8H24O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachiodonic Acid, D8","Arachidonic acid, 2H8","Arachidonic acid 2H8",160401,TRUE
