"C0","Latest.ChEBI","Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","name"
"cpd:C00044","ChEBI:15996","Energy charge","HILIC","Guanosine triphosphate","GTP","GTP","Guanosine triphosphate","100 - >10000","0.493","92.4","500 - >10000","1.978","20.5","C10H16N5O14P3",16.58,521.982844,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:15996","GTP; Guanosine 5'-triphosphate","GTP; Guanosine 5'-triphosphate"
"cpd:C00242","ChEBI:16235","Nucleic Acid","HILIC","Guanine","Guanine","Guanine","Guanine",NA,"1.159","12.2",NA,"1.617","8.5","C5H5N5O",8.61,150.041585,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16235","Guanine; 2-Amino-6-hydroxypurine","Guanine; 2-Amino-6-hydroxypurine"
"cpd:C00242","ChEBI:16235","Nucleic Acid","HILIC","Guanine","Guanine","Guanine","Guanine",NA,NA,NA,NA,NA,NA,"C5H5N5O",8.61,152.057235,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:16235","Guanine; 2-Amino-6-hydroxypurine","Guanine; 2-Amino-6-hydroxypurine"
"cpd:C00387","ChEBI:16750","Nucleoside","HILIC","Guanosine","Guanosine","Guanosine","Guanosine",NA,NA,NA,NA,NA,NA,"C10H13N5O5",9.06,284.099495,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:16750","Guanosine","Guanosine"
"cpd:C00387","ChEBI:16750","Nucleoside","HILIC","Guanosine","Guanosine","Guanosine","Guanosine","100 - >10000","0.609","13.7","<10 - 1000","4.329","16.5","C10H13N5O5",9.06,282.083845,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16750","Guanosine","Guanosine"
"cpd:C00135","ChEBI:15971","Amino Acid","HILIC","L-Histidine","Histidine","Histidine","Histidine","100 - >10000","0.759","23","<10 - 1000","0.704","6.9","C6H9N3O2",11.45,156.077302,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:15971","L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid","L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid"
"cpd:C01817","ChEBI:141698","New","HILIC","L-Homocystine","Homocystine","Homocystine","Homocystine",NA,NA,NA,NA,NA,NA,"C8H16N2O4S2",12.58,269.062977,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,"ChEBI:89698","L-Homocystine; Homocystine","L-Homocystine; Homocystine"
"cpd:C00263","ChEBI:15699","New","HILIC","L-Homoserine","Homoserine","Homoserine","Homoserine",NA,NA,NA,NA,NA,NA,"C4H9NO3",11.32,120.066069,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,"ChEBI:15699","L-Homoserine; 2-Amino-4-hydroxybutyric acid","L-Homoserine; 2-Amino-4-hydroxybutyric acid"
"cpd:C01144","ChEBI:15453","Co-enzyme A","HILIC","(S)-3-Hydroxybutyryl-CoA","Hydroxybutyryl CoA","Hydroxybutyryl CoA","Hydroxybutyryl CoA","100 - >10000","0.622","20.4","20 - >10000","1.021","22.2","C25H42N7O18P3S",11.545,852.144174,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15453","(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA","(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA"
"cpd:C16741","ChEBI:18040","Amino Acid - collagen","HILIC","L-Hydroxylysine","Hydroxylysine","Hydroxylysine","Hydroxylysine","10000 - >10000","0.796","25.4","20 - >10000","0.974","18.8","C6H14N2O3",16.37,163.108268,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:21994","L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine","L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine"
"cpd:C00519","ChEBI:16668","Sulfur","HILIC","Hypotaurine","Hypotaurine","Hypotaurine","Hypotaurine",NA,NA,NA,NA,NA,NA,"C2H7NO2S",11.36,110.027576,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:16668","Hypotaurine; 2-Aminoethanesulfinic acid","Hypotaurine; 2-Aminoethanesulfinic acid"
"cpd:C00331","ChEBI:29750","Phytohormone","HILIC","Indolepyruvic acid","Indole 3 Pyruvic Acid","Indole 3 Pyruvic Acid","Indolepyruvic acid","500 - >10000","0.662","5.1","NA - 1000","1.377","30.4","C11H9NO3",2.375,202.050419,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:29750","Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; ","Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate"
"cpd:C05123","ChEBI:1157","Sulfur","HILIC","Isethionic acid","Isethionic Acid","Isethionic Acid","Isethionic acid","<10 - 1000","0.758","17.5","<10 - 1000","0.747","6.1","C2H6O4S",7.2,124.990857,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:1157","2-Hydroxyethanesulfonate; 2-Hydroxyethanesulfonic acid; 2-Hydroxyethane-1-sulfonic acid; Isethionic acid; Isethionate","2-Hydroxyethanesulfonate; 2-Hydroxyethanesulfonic acid; 2-Hydroxyethane-1-sulfonic acid; Isethionic acid; Isethionate"
"cpd:C00311","ChEBI:16087","Organic Acid","HILIC","Isocitric acid","Isocitric Acid","Isocitric acid","Isocitric acid","500 - >10000","0.929","44.7","20 - >10000","0.982","18.4","C6H8O7",15.65,191.01918,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:30887","Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid","Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid"
"cpd:C00407","ChEBI:17191","Amino Acid","HILIC","L-Isoleucine","Isoleucine","Isoleucine","Isoleucine","1000 - >10000","0.681","14.7","100 - >10000","0.956","9.3","C6H13NO2",8.17,132.102454,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17191","L-Isoleucine; 2-Amino-3-methylvaleric acid","L-Isoleucine; 2-Amino-3-methylvaleric acid"
"cpd:C01180","ChEBI:16723","New","HILIC","2-keto-4-methylthiobutyric acid","Keto-?-(methylthio)butyric acid","Keto-?-(methylthio)butyric acid","Keto  methylthio butyric acid",NA,NA,NA,NA,NA,NA,"C5H7O3S",2.59,147.011592,"[M]",-1,"HILICNeg",NA,5,"Mix1",170331,NA,NA,"4-Methylthio-2-oxobutanoic acid; 4-Methylthio-2-oxobutanoate; 4-(Methylsulfanyl)-2-oxobutanoate; 2-Keto-4-methylthiobutyric acid; 2-Oxo-4-methylthiobutanoate; 2-Oxo-4-methylthiobutanoic acid"
"cpd:C00026","ChEBI:16810","Organic Acid","HILIC","2-Ketoglutaric acid","Ketoglutaric Acid","Ketoglutaric Acid","Ketoglutaric Acid","1000 - >10000","0.867","14.7","500 - >10000","1.114","5.9","C5H6O5",10.845,145.0137,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:30915","2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid","2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"
"cpd:C00123","ChEBI:15603","Amino Acid","HILIC","L-Leucine","Leucine","Leucine","Leucine","1000 - >10000","0.895","10.3","20 - >10000","0.743","4","C6H13NO2",7.63,132.102454,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:15603","L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine","L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine"
"cpd:C00155","ChEBI:17588","Amino Acid synthesis","HILIC","L-Homocysteine","L-Homocysteine","Homocysteine","Homocysteine","100 - >10000","0","dl","100 - >10000","0","dl","C4H9NO2S",8.7,136.043226,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:17588","L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine","L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine"
"cpd:C00725","ChEBI:16494","Organic Acid","HILIC","Lipoic acid","Lipoic Acid","Lipoic acid","Lipoic acid","500 - >10000","0.93","14.2","20 - >10000","1.022","7.8","C8H14O2S2",2.42,205.035699,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:16494","Lipoate; Lipoic acid; Thioctic acid; dl-alpha-Lipoic acid; DL-Thioctic acid","Lipoate; Lipoic acid; Thioctic acid; dl-alpha-Lipoic acid; DL-Thioctic acid"
"cpd:C01879","ChEBI:18183","New2","HILIC","5-Oxoproline","L-Pyroglutamic acid","Pidolic acid","Pidolic acid",NA,NA,NA,NA,NA,NA,"C5H7NO3",7.97,128.034768,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",180130,"ChEBI:16010","5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid","5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid"
"cpd:C01879","ChEBI:18183","New2","HILIC","5-Oxoproline","L-Pyroglutamic acid","Pidolic acid","Pidolic acid",NA,NA,NA,NA,NA,NA,"C5H7NO3",7.97,130.050419,"[M+H]",1,"HILICPos",NA,4,"Mix1",180130,"ChEBI:16010","5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid","5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid"
"cpd:C00047","ChEBI:18019","Amino Acid","HILIC","L-Lysine","Lysine","Lysine","Lysine","10000 - >10000","0.822","20","<10 - >10000","0.967","13.1","C6H14N2O2",17.5,147.113353,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:18019","L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid","L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid"
"cpd:C00149","ChEBI:15589","Organic Acid","HILIC","Malic acid","Malic Acid","Malic acid","Malic acid","100 - >10000","0.725","17.8","100 - 1000","0.982","21.4","C4H6O5",11.97,133.0137,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:6650","(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid","(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid"
"cpd:C00083","ChEBI:15531","Co-enzyme A","HILIC","Malonyl-CoA","Malonyl CoA","Malonyl-CoA","Malonyl CoA","100 - >10000","0.441","50","100 - >10000","0.281","10.7","C24H38N7O19P3S",13.525,852.107789,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15531","Malonyl-CoA; Malonyl coenzyme A","Malonyl-CoA; Malonyl coenzyme A"
"cpd:C02052","ChEBI:143180","New2","HILIC","Maltotetraose","Maltotetraose","Maltotetraose","Maltotetraose",NA,NA,NA,NA,NA,NA,"C24H42O21",13.78,665.21404,"[M-H]",-1,"HILICNeg",NA,NA,NA,NA,"ChEBI:28460","Maltotetraose","Maltotetraose"
"cpd:C01835","ChEBI:27931","New2","HILIC","Maltotriose","Maltotriose","Maltotriose","Maltotriose",NA,NA,NA,NA,NA,NA,"C18H32O16",13.03,503.161215,"[M-H]",-1,"HILICNeg",NA,NA,NA,NA,"ChEBI:61993","Maltotriose; Amylotriose","Maltotriose; Amylotriose"
"cpd:C00073","ChEBI:16643","Amino Acid","HILIC","L-Methionine","Methionine","Methionine","Methionine","1000 - >10000","0.85","12","<10 - 1000","1.021","18.5","C5H11NO2S",7.96,150.058876,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16811","L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid","L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid"
"cpd:C02989","ChEBI:17016","New","HILIC","L-Methionine S-oxide","Methionine Sulfoxide","Methionine sulfoxide","Methionine sulfoxide",NA,NA,NA,NA,NA,NA,"C5H11NO3S",9.73,166.053791,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,"ChEBI:17016","L-Methionine S-oxide","L-Methionine S-oxide"
"cpd:C00683","ChEBI:15466","Co-enzyme A","HILIC","D-Methylmalonyl-CoA","Methyl Malonyl CoA","Methylmalonyl CoA","Methylmalonyl CoA","100 - >10000","0.625","17.5","20 - >10000","0.759","8.5","C25H40N7O19P3S",13.18,866.123439,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15466","(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA","(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA"
"cpd:C20396",NA,"Organic Acid","HILIC","Methylphosphonic acid","Methylphosphonic Acid","Methylphosphonic Acid","Methylphosphonic acid","1000 - >10000","dl","dl","100 - >10000","0.759","8.5","CH5O3P",11,94.989808,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:45129",NA,"Methylphosphonate"
"cpd:C06470","ChEBI:7027","Peptidoglycan","HILIC","Muramic acid","Muramic Acid","Muramic acid","Muramic acid","1000 - >10000","0.545","23.8","20 - 1000","0.63","15","C9H17NO7",11,252.108329,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:44312","Muramic acid; 3-O-alpha-Carboxyethyl-D-glucosamine; 2-Amino-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose","Muramic acid; 3-O-alpha-Carboxyethyl-D-glucosamine; 2-Amino-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose"
"cpd:C02727","ChEBI:17752","New","HILIC","N6-Acetyl-L-lysine","N(e)-Acetyl-Lysine","N(e)-Acetyl-Lysine","N e Acetyl Lysine",NA,NA,NA,NA,NA,NA,"C8H16N2O3",9.71,189.123918,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,"ChEBI:17752","N6-Acetyl-L-lysine","N6-Acetyl-L-lysine"
"cpd:C00979","ChEBI:17981","New","HILIC","O-Acetyl-L-serine","N-Acetyl-Serine","N-Acetylserine","N Acetylserine",NA,NA,NA,NA,NA,NA,"C5H9NO4",6.27,148.060984,"[M+H]",1,"HILICPos",NA,4,"Mix1",170331,"ChEBI:17981","O-Acetyl-L-serine; O3-Acetyl-L-serine","O-Acetyl-L-serine; O3-Acetyl-L-serine"
"cpd:C00003","ChEBI:15846","Redox","HILIC","NAD","NAD","NAD","NAD","100 - >10000","0.594","15.9","20 - >10000","1.022","19.3","C21H27N7O14P2",10.6,662.101304,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:15846","NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+","NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+"
"cpd:C00004","ChEBI:16908","Redox","HILIC","NADH","NADH","NADH","NADH","100 - >10000","0.85","16.5","500 - >10000","1.106","17.6","C21H27N7O14P2",11.26,664.116954,"[M+H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16908","NADH; DPNH; Reduced nicotinamide adenine dinucleotide","NADH; DPNH; Reduced nicotinamide adenine dinucleotide"
"cpd:C00006","ChEBI:18009","Redox","HILIC","NADP","NADP","NADP","NADP","100 - >10000","0.741","23.3","100 - >10000","0.8","13.7","C21H29N7O17P3",12.74,742.067637,"[M-2H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:18009","NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+","NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+"
"cpd:C00005","ChEBI:16474","Redox","HILIC","NADPH","NADPH","NADPH","NADPH","100 - >10000","0.182","64.4","500 - >10000","1.483","53.8","C21H29N7O17P3",13.345,744.083287,"[M]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:16474","NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate","NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate"
"cpd:C00077","ChEBI:15729","New","HILIC","L-Ornithine","Ornithine","Ornithine","Ornithine",NA,NA,NA,NA,NA,NA,"C5H12N2O2",16.79,133.097703,"[M+H]",1,"HILICPos",NA,5,"Mix1",170331,"ChEBI:15729","L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate","L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate"
"cpd:C00295","ChEBI:16742","Organic Acid","HILIC","Orotic acid","Orotic Acid","Orotic acid","Orotic acid","100 - 1000","0.78","13.9","<10 - 1000","0.554","3.7","C5H4N2O4",4.195,155.009283,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:16742","Orotate; Orotic acid; Uracil-6-carboxylic acid","Orotate; Orotic acid; Uracil-6-carboxylic acid"
"cpd:C00209","ChEBI:16995","Organic Acid","HILIC","Oxalic acid","Oxalic Acid","Oxalic acid","Oxalic acid","500 - >10000","dl","dl","500 - >10000","0.717","19.8","C2H2O4",13.235,88.987485,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:16995","Oxalate; Oxalic acid; Ethanedioic acid","Oxalate; Oxalic acid; Ethanedioic acid"
"cpd:C00074","ChEBI:18021","Organic Acid","HILIC","Phosphoenolpyruvic acid","PEP","PEP","Phosphoenolpyruvic acid","1000 - >10000","0.668","30.4","500 - >10000","1.369","27.7","C3H5O6P",13.865,166.974553,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:18021","Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP","Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP"
"cpd:C00597","ChEBI:17050","Sugar phosphate","HILIC","3-Phosphoglycerate","Phosphoglyceric Acid","Phosphoglyceric Acid","Phosphoglyceric Acid","10000 - >10000","0.757","27.6","100 - >10000","1.253","10.1","C3H7O7P",14.755,184.985118,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",180130,"ChEBI:17794","3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate","Glycerate 3-phosphate; 3-Phosphoglycerate"
"cpd:C11848","ChEBI:29472","Quorum sensing","HILIC","2-Heptyl-3-hydroxy-quinolone","PQS","PQS","PQS","<10 - 1000","0.821","26.6","<10 - 1000","0.789","37.4","C16H21NO2",2.16,260.165054,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:29472","2-Heptyl-3-hydroxy-quinolone; 2-Heptyl-3-hydroxy-4(1H)-quinolone; 2-Heptyl-3-hydroxy-4-quinolone","2-Heptyl-3-hydroxy-quinolone; 2-Heptyl-3-hydroxy-4(1H)-quinolone; 2-Heptyl-3-hydroxy-4-quinolone"
"cpd:C00148","ChEBI:17203","Amino Acid","HILIC","L-Proline","Proline","Proline","Proline","100 - >10000","0.331","5.9","<10 - >10000","0.251","23.2","C5H9NO2",9.49,116.071154,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17203","L-Proline; 2-Pyrrolidinecarboxylic acid","L-Proline; 2-Pyrrolidinecarboxylic acid"
"cpd:C00100","ChEBI:15539","Co-enzyme A","HILIC","Propionyl-CoA","Propionyl CoA","Propionyl-CoA","Propionyl CoA","100 - >10000","0.527","20.5","20 - >10000","0.957","18","C24H40N7O17P3S",8.83,822.133609,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15539","Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A","Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A"
"cpd:C00628","ChEBI:17189","Lignin","HILIC","2,5-Dihydroxybenzoic acid","Resorcylic Acid","Resorcylic Acid","Resorcylic Acid","500 - >10000","0.745","7.2","20 - >10000","0.969","2.8","C7H6O4",4.08,153.018785,"[M-H]",-1,"HILICNeg",NA,4.8,"Mix2",160401,"ChEBI:58044","2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate","2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate"
"cpd:C00117","ChEBI:17797","Sugar phosphate","HILIC","D-Ribose 5-phosphate","Ribose 5 phosphate","R5P","R5P","1000 - >10000","0.561","24.2","100 - >10000","1.052","16.1","C5H11O8P",13.29,229.011333,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:17797","D-Ribose 5-phosphate; Ribose 5-phosphate","D-Ribose 5-phosphate; Ribose 5-phosphate"
"cpd:C00805","ChEBI:16914","Antioxidant","HILIC","Salicylic acid","Salicylic Acid","Salicylic acid","Salicylic acid","<10 - >10000","0.945","12.3","<10 - >10000","1.047","4.1","C7H6O3",2.2,137.02387,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:30762","Salicylate; o-Hydroxybenzoic acid; Salicylic acid","Salicylate; o-Hydroxybenzoic acid; Salicylic acid"
"cpd:C00213","ChEBI:15611","Glycine metabolite","HILIC","Sarcosine","Sarcosine","Sarcosine","Sarcosine","1000 - >10000","0.628","28","20 - 1000","0.397","5.8","C3H7NO2",10.6,90.055504,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:15611","Sarcosine; N-Methylglycine","Sarcosine; N-Methylglycine"
"cpd:C00065","ChEBI:17115","Amino Acid","HILIC","L-Serine","Serine","Serine","Serine","10000 - >10000","0.748","19.1","500 - 1000","0.899","16.5","C3H7NO3",11.86,106.050419,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17115","L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine","L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine"
"cpd:C00493","ChEBI:16119","Amino Acid synthesis","HILIC","Shikimic acid","Shikimic Acid","Shikimic acid","Shikimic acid","<10 - 1000","dl","dl","100 - 1000","0.938","13.8","C7H10O5",10.97,173.045,"[M-H]",-1,"HILICNeg",NA,5,"Mix1",160401,"ChEBI:16119","Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid","Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid"
"cpd:C10172","ChEBI:35280","New","HILIC","Proline betaine","Stachydrine hydrochloride","Proline betaine","Proline betaine",NA,NA,NA,NA,NA,NA,"C7H13NO2",7.18,144.102454,"[M+H]",1,"HILICPos",NA,0.5,"Mix1",170331,"ChEBI:35280","Stachydrine; Proline betaine; L-Proline betaine","Stachydrine; Proline betaine; L-Proline betaine"
"cpd:C00042","ChEBI:15741","Organic Acid","HILIC","Succinic acid","Succinic Acid","Succinic acid","Succinic acid","1000 - >10000","dl","dl","500 - 1000","0.965","12.2","C4H6O4",11.9,117.018785,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15741","Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid","Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid"
"cpd:C00091","ChEBI:15380","Co-enzyme A","HILIC","Succinyl-CoA","Succinyl CoA","Succinyl-CoA","Succinyl CoA","100 - >10000","0.637","17.5","20 - >10000","0.968","21.2","C25H40N7O19P3S",12.965,866.123439,"[M-H]",-1,"HILICNeg",NA,4,"Mix1",160401,"ChEBI:15380","Succinyl-CoA; Succinyl coenzyme A","Succinyl-CoA; Succinyl coenzyme A"
"cpd:C00089","ChEBI:17992","New","HILIC","Sucrose","Sucrose","Sucrose","Sucrose",NA,NA,NA,NA,NA,NA,"C12H22O11",11.93,341.10839,"[M-H]",-1,"HILICNeg",NA,5,"Mix1",170331,"ChEBI:17992","Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside","Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside"
"cpd:C14179","ChEBI:50519","Sulfur","HILIC","Sulfoacetic acid","Sulfoacetic Acid","Sulfoacetic Acid","Sulfoacetic acid","<10 - >10000","0.906","19.8","<10 - 1000","0.909","3","C2H4O5S",13.9,138.970122,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:50519","Sulfoacetate; Sulfoacetic acid","Sulfoacetate; Sulfoacetic acid"
"cpd:C11537","ChEBI:48291","Sulfur","HILIC","3-Sulfolactate","Sulfolactic Acid","Sulfolactic Acid","Sulfolactic Acid","10000 - >10000","1.416","19.1","10000 - >10000","1.768","9.1","C3H6O6S",13.275,168.980687,"[M-H]",-1,"HILICNeg",NA,16,"Mix2",160401,"ChEBI:50519","(2R)-3-Sulfolactate; (R)-3-Sulfolactate","(2R)-3-Sulfolactate; (R)-3-Sulfolactate"
"cpd:C00245","ChEBI:15891","Sulfur","HILIC","Taurine","Taurine","Taurine","Taurine","<10 - 1000","0.481","5.2","<10 - 1000","0.228","3.3","C2H7NO3S",11.13,124.006841,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:15891","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid"
"cpd:C00245","ChEBI:15891","Sulfur","HILIC","Taurine","Taurine","Taurine","Taurine",NA,NA,NA,NA,NA,NA,"C2H7NO3S",11.12,126.022491,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:15891","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid"
