"Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","C0","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","ChEBI_Names"
"New","HILIC","L-Homocystine","Homocystine","Homocystine","Homocystine",NA,NA,NA,NA,NA,NA,"C8H16N2O4S2",12.58,269.062977,"[M+H]",1,"cpd:C01817","HILICPos",NA,4,"Mix1",170331,"ChEBI:89698","L-Homocystine; Homocystine","ChEBI:141698"
"New","HILIC","L-Homoserine","Homoserine","Homoserine","Homoserine",NA,NA,NA,NA,NA,NA,"C4H9NO3",11.32,120.066069,"[M+H]",1,"cpd:C00263","HILICPos",NA,4,"Mix1",170331,"ChEBI:15699","L-Homoserine; 2-Amino-4-hydroxybutyric acid","ChEBI:15699"
"Co-enzyme A","HILIC","(S)-3-Hydroxybutyryl-CoA","Hydroxybutyryl CoA","Hydroxybutyryl CoA","Hydroxybutyryl CoA","100 - >10000","0.622","20.4","20 - >10000","1.021","22.2","C25H42N7O18P3S",11.545,852.144174,"[M-H]",-1,"cpd:C01144","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15453","(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA","ChEBI:15453"
"Amino Acid - collagen","HILIC","L-Hydroxylysine","Hydroxylysine","Hydroxylysine","Hydroxylysine","10000 - >10000","0.796","25.4","20 - >10000","0.974","18.8","C6H14N2O3",16.37,163.108268,"[M+H]",1,"cpd:C16741","HILICPos",NA,4,"Mix1",160401,"ChEBI:21994","L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine","ChEBI:18040"
"Sulfur","HILIC","Hypotaurine","Hypotaurine","Hypotaurine","Hypotaurine",NA,NA,NA,NA,NA,NA,"C2H7NO2S",11.36,110.027576,"[M+H]",1,"cpd:C00519","HILICPos",NA,4,"Mix2",160401,"ChEBI:16668","Hypotaurine; 2-Aminoethanesulfinic acid","ChEBI:16668"
"Phytohormone","HILIC","Indole-3-carbinol","Indole 3 carbinol","Indole-3-carbinol","Indole 3 carbinol","100 - >10000","1.007","10.1","500 - >10000","0.973","16.3","C9H9NO",2.395,146.060589,"[M-H]",-1,NA,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:24814",NA,NA
"Phytohormone","HILIC","Indolepyruvic acid","Indole 3 Pyruvic Acid","Indole 3 Pyruvic Acid","Indolepyruvic acid","500 - >10000","0.662","5.1","NA - 1000","1.377","30.4","C11H9NO3",2.375,202.050419,"[M-H]",-1,"cpd:C00331","HILICNeg",NA,4,"Mix2",160401,"ChEBI:29750","Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate","ChEBI:29750"
"Sulfur","HILIC","Isethionic acid","Isethionic Acid","Isethionic Acid","Isethionic acid","<10 - 1000","0.758","17.5","<10 - 1000","0.747","6.1","C2H6O4S",7.2,124.990857,"[M-H]",-1,"cpd:C05123","HILICNeg",NA,4,"Mix2",160401,"ChEBI:1157","2-Hydroxyethanesulfonate; 2-Hydroxyethanesulfonic acid; 2-Hydroxyethane-1-sulfonic acid; Isethionic acid; Isethionate","ChEBI:1157"
"Internal Standard","HILIC","Isethionic acid, 13C2","Isethionic Acid, 13C2","Isethionic Acid, 13C2","Isethionic Acid 13C2",NA,NA,NA,NA,NA,NA,"C(13)2H6O4S",7.2,126.9981,"[M-H]",-1,NA,"HILICNeg",NA,0.5,NA,160401,NA,NA,NA
"Organic Acid","HILIC","Isocitric acid","Isocitric Acid","Isocitric acid","Isocitric acid","500 - >10000","0.929","44.7","20 - >10000","0.982","18.4","C6H8O7",15.65,191.01918,"[M-H]",-1,"cpd:C00311","HILICNeg",NA,4,"Mix1",160401,"ChEBI:30887","Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid","ChEBI:16087"
"Amino Acid","HILIC","L-Isoleucine","Isoleucine","Isoleucine","Isoleucine","1000 - >10000","0.681","14.7","100 - >10000","0.956","9.3","C6H13NO2",8.17,132.102454,"[M+H]",1,"cpd:C00407","HILICPos",NA,4,"Mix1",160401,"ChEBI:17191","L-Isoleucine; 2-Amino-3-methylvaleric acid","ChEBI:17191"
"New","HILIC","2-keto-4-methylthiobutyric acid","Keto-?-(methylthio)butyric acid","Keto-?-(methylthio)butyric acid","Keto  methylthio butyric acid",NA,NA,NA,NA,NA,NA,"C5H7O3S",2.59,147.011592,"[M]",-1,"cpd:C01180","HILICNeg",NA,5,"Mix1",170331,NA,"4-Methylthio-2-oxobutanoic acid; 4-Methylthio-2-oxobutanoate; 4-(Methylsulfanyl)-2-oxobutanoate; 2-Keto-4-methylthiobutyric acid; 2-Oxo-4-methylthiobutanoate; 2-Oxo-4-methylthiobutanoic acid","ChEBI:16723"
"Organic Acid","HILIC","2-Ketoglutaric acid","Ketoglutaric Acid","Ketoglutaric Acid","Ketoglutaric Acid","1000 - >10000","0.867","14.7","500 - >10000","1.114","5.9","C5H6O5",10.845,145.0137,"[M-H]",-1,"cpd:C00026","HILICNeg",NA,4,"Mix1",160401,"ChEBI:30915","2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid","ChEBI:16810"
"Amino Acid","HILIC","L-Kynurenine","Kynurenine","Kynurenine","Kynurenine",NA,NA,NA,NA,NA,NA,"C10H12N2O3",4.345,209.092618,"[M+H]",1,"cpd:C00328","HILICPos",NA,NA,NA,160401,"ChEBI:16946","L-Kynurenine; 3-Anthraniloyl-L-alanine","ChEBI:16946"
"Internal Standard","HILIC","L-Cysteic acid, 2H3","L-Cysteic Acid, D3","Cysteic Acid, D3","Cysteic Acid D3",NA,NA,NA,NA,NA,NA,"C3D3H4NO5S",12.15,171.0161,"[M-H]",-1,NA,"HILICNeg",NA,1,NA,160401,NA,NA,NA
"Amino Acid","HILIC","L-Leucine","Leucine","Leucine","Leucine","1000 - >10000","0.895","10.3","20 - >10000","0.743","4","C6H13NO2",7.63,132.102454,"[M+H]",1,"cpd:C00123","HILICPos",NA,4,"Mix1",160401,"ChEBI:15603","L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine","ChEBI:15603"
"Amino Acid synthesis","HILIC","L-Homocysteine","L-Homocysteine","Homocysteine","Homocysteine","100 - >10000","0","dl","100 - >10000","0","dl","C4H9NO2S",8.7,136.043226,"[M+H]",1,"cpd:C00155","HILICPos",NA,4,"Mix2",160401,"ChEBI:17588","L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine","ChEBI:17588"
"Organic Acid","HILIC","Lipoic acid","Lipoic Acid","Lipoic acid","Lipoic acid","500 - >10000","0.93","14.2","20 - >10000","1.022","7.8","C8H14O2S2",2.42,205.035699,"[M-H]",-1,"cpd:C00725","HILICNeg",NA,4,"Mix1",160401,"ChEBI:16494","Lipoate; Lipoic acid; Thioctic acid; dl-alpha-Lipoic acid; DL-Thioctic acid","ChEBI:16494"
"Internal Standard","HILIC","L-Isoleucine, 15N","L-Isoleucine, 15N","Isoleucine, 15N","Isoleucine 15N",NA,NA,NA,NA,NA,NA,"C6H13N(15)O2",8.17,133.0989,"[M+H]",1,NA,"HILICPos",NA,0.5,NA,160401,NA,NA,NA
"Internal Standard","HILIC","L-Methionine, 2H3","L-Methionine, D3","Methionine, D3","Methionine D3",NA,NA,NA,NA,NA,NA,"C5D3H8NO2S",7.96,153.0771,"[M+H]",1,NA,"HILICPos",NA,1,NA,160401,NA,NA,NA
"New2","HILIC","5-Oxoproline","L-Pyroglutamic acid","Pidolic acid","Pidolic acid",NA,NA,NA,NA,NA,NA,"C5H7NO3",7.97,128.034768,"[M-H]",-1,"cpd:C01879","HILICNeg",NA,4,"Mix1",180130,"ChEBI:16010","5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid","ChEBI:18183"
"New2","HILIC","5-Oxoproline","L-Pyroglutamic acid","Pidolic acid","Pidolic acid",NA,NA,NA,NA,NA,NA,"C5H7NO3",7.97,130.050419,"[M+H]",1,"cpd:C01879","HILICPos",NA,4,"Mix1",180130,"ChEBI:16010","5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid","ChEBI:18183"
"Amino Acid","HILIC","L-Lysine","Lysine","Lysine","Lysine","10000 - >10000","0.822","20","<10 - >10000","0.967","13.1","C6H14N2O2",17.5,147.113353,"[M+H]",1,"cpd:C00047","HILICPos",NA,4,"Mix1",160401,"ChEBI:18019","L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid","ChEBI:18019"
"Organic Acid","HILIC","Malic acid","Malic Acid","Malic acid","Malic acid","100 - >10000","0.725","17.8","100 - 1000","0.982","21.4","C4H6O5",11.97,133.0137,"[M-H]",-1,"cpd:C00149","HILICNeg",NA,4,"Mix1",160401,"ChEBI:6650","(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid","ChEBI:15589"
"Co-enzyme A","HILIC","Malonyl-CoA","Malonyl CoA","Malonyl-CoA","Malonyl CoA","100 - >10000","0.441","50","100 - >10000","0.281","10.7","C24H38N7O19P3S",13.525,852.107789,"[M-H]",-1,"cpd:C00083","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15531","Malonyl-CoA; Malonyl coenzyme A","ChEBI:15531"
"New2","HILIC","Maltotetraose","Maltotetraose","Maltotetraose","Maltotetraose",NA,NA,NA,NA,NA,NA,"C24H42O21",13.78,665.21404,"[M-H]",-1,"cpd:C02052","HILICNeg",NA,NA,NA,NA,"ChEBI:28460","Maltotetraose","ChEBI:143180"
"New2","HILIC","Maltotriose","Maltotriose","Maltotriose","Maltotriose",NA,NA,NA,NA,NA,NA,"C18H32O16",13.03,503.161215,"[M-H]",-1,"cpd:C01835","HILICNeg",NA,NA,NA,NA,"ChEBI:61993","Maltotriose; Amylotriose","ChEBI:27931"
"Sulfur","HILIC","Sodium 2-mercaptoethanesulfonate","MESNA (Sodium 2-mercaptoethanesulfonate)","MESNA","MESNA","<10 - 1000","0.266","20.6","<10 - 1000","0.953","7.8","C2H5O3S2",2.67,140.968013,"[M]",-1,NA,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:31824",NA,NA
"Amino Acid","HILIC","L-Methionine","Methionine","Methionine","Methionine","1000 - >10000","0.85","12","<10 - 1000","1.021","18.5","C5H11NO2S",7.96,150.058876,"[M+H]",1,"cpd:C00073","HILICPos",NA,4,"Mix1",160401,"ChEBI:16811","L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid","ChEBI:16643"
"New","HILIC","L-Methionine S-oxide","Methionine Sulfoxide","Methionine sulfoxide","Methionine sulfoxide",NA,NA,NA,NA,NA,NA,"C5H11NO3S",9.73,166.053791,"[M+H]",1,"cpd:C02989","HILICPos",NA,4,"Mix1",170331,"ChEBI:17016","L-Methionine S-oxide","ChEBI:17016"
"Co-enzyme A","HILIC","D-Methylmalonyl-CoA","Methyl Malonyl CoA","Methylmalonyl CoA","Methylmalonyl CoA","100 - >10000","0.625","17.5","20 - >10000","0.759","8.5","C25H40N7O19P3S",13.18,866.123439,"[M-H]",-1,"cpd:C00683","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15466","(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA","ChEBI:15466"
"Organic Acid","HILIC","Methylphosphonic acid","Methylphosphonic Acid","Methylphosphonic Acid","Methylphosphonic acid","1000 - >10000","dl","dl","100 - >10000","0.759","8.5","CH5O3P",11,94.989808,"[M-H]",-1,"cpd:C20396","HILICNeg",NA,4,"Mix1",160401,"ChEBI:45129","Methylphosphonate",NA
"Peptidoglycan","HILIC","Muramic acid","Muramic Acid","Muramic acid","Muramic acid","1000 - >10000","0.545","23.8","20 - 1000","0.63","15","C9H17NO7",11,252.108329,"[M+H]",1,"cpd:C06470","HILICPos",NA,4,"Mix1",160401,"ChEBI:44312","Muramic acid; 3-O-alpha-Carboxyethyl-D-glucosamine; 2-Amino-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose","ChEBI:7027"
"New","HILIC","N6-Acetyl-L-lysine","N(e)-Acetyl-Lysine","N(e)-Acetyl-Lysine","N e Acetyl Lysine",NA,NA,NA,NA,NA,NA,"C8H16N2O3",9.71,189.123918,"[M+H]",1,"cpd:C02727","HILICPos",NA,4,"Mix1",170331,"ChEBI:17752","N6-Acetyl-L-lysine","ChEBI:17752"
"New","HILIC","O-Acetyl-L-serine","N-Acetyl-Serine","N-Acetylserine","N Acetylserine",NA,NA,NA,NA,NA,NA,"C5H9NO4",6.27,148.060984,"[M+H]",1,"cpd:C00979","HILICPos",NA,4,"Mix1",170331,"ChEBI:17981","O-Acetyl-L-serine; O3-Acetyl-L-serine","ChEBI:17981"
"Sulfur","HILIC","N-Acetyltaurine","N-acetyltaurine","N-acetyltaurine","N acetyltaurine","<10 - 1000","1.111","9.9","20 - 1000","1.079","2.1","C4H9NO4S",3.74,166.017406,"[M-H]",-1,NA,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:84415",NA,NA
"Redox","HILIC","NAD","NAD","NAD","NAD","100 - >10000","0.594","15.9","20 - >10000","1.022","19.3","C21H27N7O14P2",10.6,662.101304,"[M-H]",-1,"cpd:C00003","HILICNeg",NA,4,"Mix2",160401,"ChEBI:15846","NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+","ChEBI:15846"
"Redox","HILIC","NADH","NADH","NADH","NADH","100 - >10000","0.85","16.5","500 - >10000","1.106","17.6","C21H27N7O14P2",11.26,664.116954,"[M+H]",-1,"cpd:C00004","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16908","NADH; DPNH; Reduced nicotinamide adenine dinucleotide","ChEBI:16908"
"Redox","HILIC","NADP","NADP","NADP","NADP","100 - >10000","0.741","23.3","100 - >10000","0.8","13.7","C21H29N7O17P3",12.74,742.067637,"[M-2H]",-1,"cpd:C00006","HILICNeg",NA,4,"Mix2",160401,"ChEBI:18009","NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+","ChEBI:18009"
"Redox","HILIC","NADPH","NADPH","NADPH","NADPH","100 - >10000","0.182","64.4","500 - >10000","1.483","53.8","C21H29N7O17P3",13.345,744.083287,"[M]",-1,"cpd:C00005","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16474","NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate","ChEBI:16474"
"Sulfur","HILIC","N-Methyltaurine","N-methyltaurine","N-methyltaurine","N methyltaurine",NA,NA,NA,NA,NA,NA,"C3H9NO3S",6.06,140.038141,"[M+H]",1,NA,"HILICPos",NA,4,"Mix2",160401,NA,NA,NA
"New2","HILIC","Ophthalmic acid","Ophthalmic Acid","Ophthalmic Acid","Ophthalmic acid",NA,NA,NA,NA,NA,NA,"C11H19N3O6",10.73,290.135212,"[M+H]",1,"cpd:C21016","HILICPos",NA,5,"Mix1",180130,"ChEBI:84058","Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine",NA
"New","HILIC","L-Ornithine","Ornithine","Ornithine","Ornithine",NA,NA,NA,NA,NA,NA,"C5H12N2O2",16.79,133.097703,"[M+H]",1,"cpd:C00077","HILICPos",NA,5,"Mix1",170331,"ChEBI:15729","L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate","ChEBI:15729"
"Organic Acid","HILIC","Orotic acid","Orotic Acid","Orotic acid","Orotic acid","100 - 1000","0.78","13.9","<10 - 1000","0.554","3.7","C5H4N2O4",4.195,155.009283,"[M-H]",-1,"cpd:C00295","HILICNeg",NA,4,"Mix1",160401,"ChEBI:16742","Orotate; Orotic acid; Uracil-6-carboxylic acid","ChEBI:16742"
"Organic Acid","HILIC","Oxalic acid","Oxalic Acid","Oxalic acid","Oxalic acid","500 - >10000","dl","dl","500 - >10000","0.717","19.8","C2H2O4",13.235,88.987485,"[M-H]",-1,"cpd:C00209","HILICNeg",NA,4,"Mix1",160401,"ChEBI:16995","Oxalate; Oxalic acid; Ethanedioic acid","ChEBI:16995"
"Organic Acid","HILIC","Phosphoenolpyruvic acid","PEP","PEP","Phosphoenolpyruvic acid","1000 - >10000","0.668","30.4","500 - >10000","1.369","27.7","C3H5O6P",13.865,166.974553,"[M-H]",-1,"cpd:C00074","HILICNeg",NA,4,"Mix1",160401,"ChEBI:18021","Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP","ChEBI:18021"
"Sugar phosphate","HILIC","3-Phosphoglycerate","Phosphoglyceric Acid","Phosphoglyceric Acid","Phosphoglyceric Acid","10000 - >10000","0.757","27.6","100 - >10000","1.253","10.1","C3H7O7P",14.755,184.985118,"[M-H]",-1,"cpd:C00597","HILICNeg",NA,4,"Mix1",180130,"ChEBI:17794","Glycerate 3-phosphate; 3-Phosphoglycerate","ChEBI:17050"
"Quorum sensing","HILIC","2-Heptyl-3-hydroxy-quinolone","PQS","PQS","PQS","<10 - 1000","0.821","26.6","<10 - 1000","0.789","37.4","C16H21NO2",2.16,260.165054,"[M+H]",1,"cpd:C11848","HILICPos",NA,4,"Mix1",160401,"ChEBI:29472","2-Heptyl-3-hydroxy-quinolone; 2-Heptyl-3-hydroxy-4(1H)-quinolone; 2-Heptyl-3-hydroxy-4-quinolone","ChEBI:29472"
"Amino Acid","HILIC","L-Proline","Proline","Proline","Proline","100 - >10000","0.331","5.9","<10 - >10000","0.251","23.2","C5H9NO2",9.49,116.071154,"[M+H]",1,"cpd:C00148","HILICPos",NA,4,"Mix1",160401,"ChEBI:17203","L-Proline; 2-Pyrrolidinecarboxylic acid","ChEBI:17203"
"Sulfur","HILIC","1-Propanesulfonate","Propanesulfonate","Propanesulfonate","Propanesulfonate",NA,NA,NA,NA,NA,NA,"C3H7O3S",2.81,123.011592,"[M]",-1,NA,"HILICNeg",NA,4,"Mix2",160401,NA,NA,NA
"Co-enzyme A","HILIC","Propionyl-CoA","Propionyl CoA","Propionyl-CoA","Propionyl CoA","100 - >10000","0.527","20.5","20 - >10000","0.957","18","C24H40N7O17P3S",8.83,822.133609,"[M-H]",-1,"cpd:C00100","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15539","Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A","ChEBI:15539"
"New2","HILIC","O-Propionylcarnitine","Propionyl-L-carnitine","O-Propionylcarnitine","O Propionylcarnitine",NA,NA,NA,NA,NA,NA,"C10H19NO4",5.63,218.139234,"[M+H]",1,"cpd:C03017","HILICPos",NA,4,"Mix1",180130,"ChEBI:28867","O-Propanoylcarnitine; O-Propionylcarnitine","ChEBI:28867"
"Lignin","HILIC","2,5-Dihydroxybenzoic acid","Resorcylic Acid","Resorcylic Acid","Resorcylic Acid","500 - >10000","0.745","7.2","20 - >10000","0.969","2.8","C7H6O4",4.08,153.018785,"[M-H]",-1,"cpd:C00628","HILICNeg",NA,4.8,"Mix2",160401,"ChEBI:58044","2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate","ChEBI:17189"
"Redox","HILIC","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP","100 - >10000","0.552","17.9","20 - >10000","0.902","12","C17H21N4O9P",8.6,455.096794,"[M-H]",-1,"cpd:C00061","HILICNeg",NA,4,"Mix2",160401,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","ChEBI:17621"
"Redox","HILIC","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP",NA,NA,NA,NA,NA,NA,"C17H21N4O9P",8.6,457.112444,"[M+H]",1,"cpd:C00061","HILICPos",NA,4,"Mix2",160401,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","ChEBI:17621"
"Sugar phosphate","HILIC","D-Ribose 5-phosphate","Ribose 5 phosphate","R5P","R5P","1000 - >10000","0.561","24.2","100 - >10000","1.052","16.1","C5H11O8P",13.29,229.011333,"[M-H]",-1,"cpd:C00117","HILICNeg",NA,4,"Mix2",160401,"ChEBI:17797","D-Ribose 5-phosphate; Ribose 5-phosphate","ChEBI:17797"
"Antioxidant","HILIC","Salicylic acid","Salicylic Acid","Salicylic acid","Salicylic acid","<10 - >10000","0.945","12.3","<10 - >10000","1.047","4.1","C7H6O3",2.2,137.02387,"[M-H]",-1,"cpd:C00805","HILICNeg",NA,4,"Mix1",160401,"ChEBI:30762","Salicylate; o-Hydroxybenzoic acid; Salicylic acid","ChEBI:16914"
"Glycine metabolite","HILIC","Sarcosine","Sarcosine","Sarcosine","Sarcosine","1000 - >10000","0.628","28","20 - 1000","0.397","5.8","C3H7NO2",10.6,90.055504,"[M+H]",1,"cpd:C00213","HILICPos",NA,4,"Mix2",160401,"ChEBI:15611","Sarcosine; N-Methylglycine","ChEBI:15611"
"Amino Acid","HILIC","L-Serine","Serine","Serine","Serine","10000 - >10000","0.748","19.1","500 - 1000","0.899","16.5","C3H7NO3",11.86,106.050419,"[M+H]",1,"cpd:C00065","HILICPos",NA,4,"Mix1",160401,"ChEBI:17115","L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine","ChEBI:17115"
"New2","HILIC","S-Farnesyl-L-cysteine methyl ester","S-Farnesyl-L-cysteine Methyl Ester","S-Fcme","S Fcme",NA,NA,NA,NA,NA,NA,"C19H33NO2S",1.58,340.231026,"[M+H]",1,NA,"HILICPos",NA,NA,NA,180130,"ChEBI:87167",NA,NA
"Amino Acid synthesis","HILIC","Shikimic acid","Shikimic Acid","Shikimic acid","Shikimic acid","<10 - 1000","dl","dl","100 - 1000","0.938","13.8","C7H10O5",10.97,173.045,"[M-H]",-1,"cpd:C00493","HILICNeg",NA,5,"Mix1",160401,"ChEBI:16119","Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid","ChEBI:16119"
"New","HILIC","Proline betaine","Stachydrine hydrochloride","Proline betaine","Proline betaine",NA,NA,NA,NA,NA,NA,"C7H13NO2",7.18,144.102454,"[M+H]",1,"cpd:C10172","HILICPos",NA,0.5,"Mix1",170331,"ChEBI:35280","Stachydrine; Proline betaine; L-Proline betaine","ChEBI:35280"
"Organic Acid","HILIC","Succinic acid","Succinic Acid","Succinic acid","Succinic acid","1000 - >10000","dl","dl","500 - 1000","0.965","12.2","C4H6O4",11.9,117.018785,"[M-H]",-1,"cpd:C00042","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15741","Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid","ChEBI:15741"
"Internal Standard","HILIC","Succinic acid, 2H4","Succinic Acid, D4","Succinic Acid, D4","Succinic Acid D4",NA,NA,NA,NA,NA,NA,"C4D4H2O4",11.9,121.0444,"[M-H]",-1,NA,"HILICNeg",NA,10,NA,160401,NA,NA,NA
"Co-enzyme A","HILIC","Succinyl-CoA","Succinyl CoA","Succinyl-CoA","Succinyl CoA","100 - >10000","0.637","17.5","20 - >10000","0.968","21.2","C25H40N7O19P3S",12.965,866.123439,"[M-H]",-1,"cpd:C00091","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15380","Succinyl-CoA; Succinyl coenzyme A","ChEBI:15380"
"New","HILIC","Sucrose","Sucrose","Sucrose","Sucrose",NA,NA,NA,NA,NA,NA,"C12H22O11",11.93,341.10839,"[M-H]",-1,"cpd:C00089","HILICNeg",NA,5,"Mix1",170331,"ChEBI:17992","Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside","ChEBI:17992"
"Internal Standard","HILIC","Sucrose, 13C","Sucrose, 13C","Sucrose, 13C","Sucrose 13C",NA,NA,NA,NA,NA,NA,"C(13)12H22O11",11.77,353.1497,"[M-H]",-1,NA,"HILICNeg",NA,5,NA,170601,NA,NA,NA
"Sulfur","HILIC","Sulfoacetic acid","Sulfoacetic Acid","Sulfoacetic Acid","Sulfoacetic acid","<10 - >10000","0.906","19.8","<10 - 1000","0.909","3","C2H4O5S",13.9,138.970122,"[M-H]",-1,"cpd:C14179","HILICNeg",NA,4,"Mix2",160401,"ChEBI:50519","Sulfoacetate; Sulfoacetic acid","ChEBI:50519"
"Internal Standard","HILIC","Sulfoacetic acid, 13C2","Sulfoacetic Acid, 13C2","Sulfoacetic Acid, 13C2","Sulfoacetic Acid 13C2",NA,NA,NA,NA,NA,NA,"C(13)2H4O5S",13.9,140.9774,"[M-H]",-1,NA,"HILICNeg",NA,2.5,NA,160401,NA,NA,NA
"Sulfur","HILIC","3-Sulfolactate","Sulfolactic Acid","Sulfolactic Acid","Sulfolactic Acid","10000 - >10000","1.416","19.1","10000 - >10000","1.768","9.1","C3H6O6S",13.275,168.980687,"[M-H]",-1,"cpd:C11537","HILICNeg",NA,16,"Mix2",160401,"ChEBI:50519","(2R)-3-Sulfolactate; (R)-3-Sulfolactate","ChEBI:48291"
"Internal Standard","HILIC","3-Sulfolactate, 13C3","Sulfolactic Acid, 13C3","Sulfolactic Acid, 13C3","Sulfolactic Acid 13C3",NA,NA,NA,NA,NA,NA,"C(13)2H5O4S",13.27,171.9913,"[M-H]",-1,NA,"HILICNeg",NA,1,NA,160401,NA,NA,NA
"Sulfur","HILIC","Taurine","Taurine","Taurine","Taurine","<10 - 1000","0.481","5.2","<10 - 1000","0.228","3.3","C2H7NO3S",11.13,124.006841,"[M-H]",-1,"cpd:C00245","HILICNeg",NA,4,"Mix2",160401,"ChEBI:15891","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","ChEBI:15891"
"Sulfur","HILIC","Taurine","Taurine","Taurine","Taurine",NA,NA,NA,NA,NA,NA,"C2H7NO3S",11.12,126.022491,"[M+H]",1,"cpd:C00245","HILICPos",NA,4,"Mix2",160401,"ChEBI:15891","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid","ChEBI:15891"
"Internal Standard","HILIC","Taurine, 2H4","Taurine, D4","Taurine, 2H4","Taurine 2H4",NA,NA,NA,NA,NA,NA,"C2D4H3NO3S",10,128.0325,"[M-H]",-1,NA,"HILICNeg",NA,1,NA,160401,NA,NA,NA
"Vitamin (B1-derivative)","HILIC","Thiamine monophosphate","Thiamine monophosphate","TMP","Thiamine monophosphate","100 - >10000","0.821","13.5","<10 - >10000","1.08","17.3","C12H18N4O4PS",11.5,345.078641,"[M]",1,"cpd:C01081","HILICPos",NA,4,"Mix1",160401,"ChEBI:9533","Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP","ChEBI:9533"
